"Last updated","Type","Suburb","Venue","Address","Date and time of exposure","Health advice"
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bankstown","Big W Bankstown Bankstown Central","1 A North Terrrace","11am to 11:30am on Friday 9 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bankstown","Kmart Bankstown Bankstown Central","1 North Terrrace","11am to 11:30am on Friday 9 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bankstown","Pharmacy 4 Less Bankstown Central","North Terrace Shop SP247","9am to 9:15am on Friday 9 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Belmore","Belmore Medical Centre","481 Burwood Ave","10am to 11am on Monday 5 July 20216:30pm to 7:15pm on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Bondi Junction","99 Bikes Bondi Junction","228 Oxford Street","12:45pm to 2:45pm on Saturday 10 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bondi Junction","Australia Post Office Eastgate Shopping Centre","Shop 28, 71-73 Spring Street","3:50pm to 4pm on Friday 9 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bondi Junction","Australia Post Westfield Bondi Junction","500 Oxford Street","12:50pm to 1:10pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Monitor for symptoms","Bondi Junction","Irish Convenience Store Bondi","Shop 2/310-330 Oxford Street","9:55am to 11:05am on Saturday 10 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Camperdown","7 Eleven Camperdown","2/10 Missendon Road","10am to 10:20am on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Casula","Kmart Casula Mall","Casula Mall S/C, Kurrajong Road","6pm to 6:45pm on Thursday 8 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Centennial Park","Centennial Homestead Cafe","1 Grand Drive","12pm to 12:30pm on Wednesday 7 July 20212:40pm to 3:15pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Chipping Norton","Benedict Recycling","33-39 Riverside Road","10:50am to 12pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Emu Plains","Cafe at Lewers","86 River Road","9am to 9:30am on Friday 9 July 20219am to 9:30am on Thursday 8 July 20219am to 9:30am on Wednesday 7 July 20219am to 9:30am on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Emu Plains","Woolworths Lennox Shopping Centre","Corner Great Western Highway and Lawson Street","4pm to 4:30pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Fairfield","Australian Visa Now","2A/4 Alan Street","9:30am to 4:30am on Saturday 10 July 20219:30am to 4:30am on Friday 9 July 20219:30am to 4:30am on Thursday 8 July 20219:30am to 4:30am on Wednesday 7 July 20219:30am to 4:30am on Tuesday 6 July 20219:30am to 4:30am on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Fairfield","Fairfield Imaging Center","10 Nelson Street","1pm to 2pm on Thursday 8 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Fairfield","iMedic iCare Medical Centre","107 Ware Street","8:30am to 6:30pm on Saturday 10 July 20218:30am to 6:30pm on Friday 9 July 202111am to 3pm on Thursday 8 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Fairfield","Law and Order Office Work","31 Spencer Street","9:30am to 4:30am on Saturday 10 July 20219:30am to 4:30am on Friday 9 July 20219:30am to 4:30am on Thursday 8 July 20219:30am to 4:30am on Wednesday 7 July 20219:30am to 4:30am on Tuesday 6 July 20219:30am to 4:30am on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Fairfield","Ware Street Medical Practice Fairfield","Shop 3/37-41 Ware Street","2:40pm to 3:40pm on Thursday 8 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Fairfield","Westpac Fairfield","Shop G46 Neeta City Shopping Centre, 49 Smart Street","1:20pm to 1:40pm on Thursday 8 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield Heights","Babylon Bakery Fairfield Heights","187 The Boulevarde","12:45pm to 12:50pm on Saturday 10 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield Heights","Boulevarde Pharmacy Fairfield Heights","176 The Boulevarde","9am to 10am on Saturday 10 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield Heights","Woolworths Fairfield Heights","186 The Boulevard","5:40pm to 7pm on Thursday 8 July 202112:40pm to 12:55pm on Thursday 8 July 20216:45pm to 7:15pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield West","Coles Fairfield West","Markey Plaza, 386 Hamilton Road","12:30pm to 1:30pm on Saturday 10 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Georges Hall","Georges Hall Pharmacy","1/195 Birdwood Road","1:10pm to 1:30pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Glebe","Schnitz Broadway","218/1 Bay Street","6:30pm to 6:45pm on Thursday 8 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Glenbrook","Cons Continental Deli Glenbrook","31 Park Street","1pm to 1:30pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Glenbrook","The Take Away Joint","Shop 6/31-33 Ross Street","1pm to 1:30pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Green Valley","Priceline Pharmacy Green Valley","The Valley Plaza 2, 189 Wilson Road","2:30pm to 3:15pm on Friday 9 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Greenacre","Mr Shawarma","145 Waterloo Road","8:30pm to 8:45pm on Saturday 10 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Monitor for symptoms","Hoxton Park","Bunnings Hoxton Park","Corner of Cowpasture Road and Airfield Drive","4:15pm to 4:45pm on Thursday 8 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","No.1 Malatang Restaurant urstville","225 Forest Road","5:10pm to 6pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Jamisontown","Grey Gums Bottlemart","Blaikie Road and Mulgoa Road","3pm to 3:30pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Jamisontown","Harvey Norman Penrith Homemaker Centre","Wolseley Street and Mulgoa Road","3pm to 3:30pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Jamisontown","Penrith Homemaker Centre","Wolseley Street","3pm to 3:30pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kareela","Coles Kareela","Corner of Bates Drive and Freya Street","1pm to 10pm on Wednesday 7 July 20215pm to 10pm on Tuesday 6 July 20215pm to 10pm on Friday 2 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kemps Creek","Caltex Petrol Station Kemps Creek","1413 Elizabeth Drive","4:15pm to 4:45pm on Thursday 8 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Lakemba","Mataam Al Mandi","30B Haldon Street","3:15pm to 3:30pm on Saturday 10 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Liverpool","PRD Real Estate Liverppool","71-73 Scott Street","8:30am to 9:15am on Saturday 10 July 20219am to 5:50pm on Friday 9 July 20219am to 5:30pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","McGraths Hill","McGraths Hill BMX track","Bismarck Street","11am to 1pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Merrylands","Asal Sweet Patisserie Merrylands","Shop 4,196-200 Merrylands Road","4pm to 5pm on Thursday 8 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Mortdale","Lazezza Kebab Bakery Grills","8 Morts Road","2:25pm to 3pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
